DriverName,DriverID,Rookie,DRFAvg,DTAvg,DTTAvg,DNFRate,TDNFRate,DriverElo,DriverTElo,DriverTTElo,DriverRitmo,AvgLapsLedRate,AvgRacePos,AvgPosVariance,PositionStart,TeamName,TeamID,TRP,TTP,TeamDNFRate,TeamElo,TeamTElo,TeamRitmo,CarEngine,EngineID,EngineElo,EngineTElo,EngineTTElo,EventName,Track,TrackID,EventTrackType,EventTrackTypeID,EventDate,EventDateFormatted,EventID,Era,EraID,Status,StatusID,FieldSize,RacePoints,TotalPoints,Standings,ElapsedTime,TimeDiff,QualTime,QualSpeed,QualSegment,FirstPitLap,LastPitLap,AvgPitLap,LapsLed,AvgRacePosition,PosVariance,BestPosition,PositionFinish,NormalizedPositionFinish
JR Hildebrand,3736,0,,,,,,1500,1500,1500,,,,,18,Panther Racing,20,,,,1500,1500,,Chevrolet,0,1500,1500,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,DNF,1,26,,,,,,,,,,,,,,,,19,0.72
Takuma Sato,3811,0,,,,,,1500,1500,1500,,,,,14,Rahal Letterman Lanigan Racing,24,,,,1500,1500,,Honda,1,1500,1500,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,DNF,1,26,,,,,,,,,,,,,,,,22,0.84
Simona De Silvestro,3813,0,,,,,,1500,1500,1500,,,,,21,Andretti Global,3,,,,1500,1500,,Chevrolet,0,1500,1500,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,DNF,1,26,,,,,,,,,,,,,,,,24,0.92
Sebastien Bourdais,4021,0,,,,,,1500,1500,1500,,,,,26,Dragon Racing,12,,,,1500,1500,,Lotus,2,1500,1500,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,DNF,1,26,,,,,,,,,,,,,,,,21,0.8
Charlie Kimball,4144,0,,,,,,1500,1500,1500,,,,,22,Chip Ganassi Racing,9,,,,1500,1500,,Honda,1,1500,1500,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,,,,,,,,,,,,,,,,9,0.32
Josef Newgarden,4215,1,,,,,,1500,1500,1500,,,,,19,Sarah Fisher Hartman Racing,25,,,,1500,1500,,Honda,1,1500,1500,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,,,,,,,,,,,,,,,,11,0.4
James Hinchcliffe,4216,0,,,,,,1500,1500,1500,,,,,4,Andretti Global,3,,,,1500,1500,,Chevrolet,0,1500,1500,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,,,,,,,,,,,,,,,,4,0.12
James Jakes,4236,0,,,,,,1500,1500,1500,,,,,20,Dale Coyne Racing,11,,,,1500,1500,,Honda,1,1500,1500,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,DNF,1,26,,,,,,,,,,,,,,,,26,1
Simon Pagenaud,4276,1,,,,,,1500,1500,1500,,,,,16,Schmidt Hamilton HP Motorsports,26,,,,1500,1500,,Honda,1,1500,1500,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,,,,,,,,,,,,,,,,6,0.2
Katherine Legge,4401,1,,,,,,1500,1500,1500,,,,,25,Dragon Racing,12,,,,1500,1500,,Lotus,2,1500,1500,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,DNF,1,26,,,,,,,,,,,,,,,,23,0.88
